# Manually maintained mapping of IATA or ICAO airport codes and timezones such
# that:
#
# 1) Every timezone is associated with at least one airport code.
# 2) An airport code is associated with only a single timezone.
# 3) Some timezones may be associated with multiple airports.
#
# Most of the airport names and codes were extracted from the corresponding
# wikipedia page, using the following guidelines:
#
# 1) Wikipedia articles often embed non-ASCII characters with accents in their
# English names of the airport. All characters were converted into the nearest
# corresponding ASCII character.
# 2) Use the well-known 3-letter IATA code if available.
# 3) Use the 4-letter ICAO code if IATA code is not assigned.
# (e.g. BGDH at Danmarkshavn Airport, Greenland).
# 4) Use the sentinel "0000" if no airport exists near the town/region. This
# makes it impossible to select one of these timezones using an airport code.
# Fortunately, most of these are small villages or towns which chose to use a
# different DST rule than the rest of the larger region for various regions.

# airport timezone
ABJ Africa/Abidjan # Felix-Houphouet-Boigny International Airport, Ivory Coast
ACC Africa/Accra # Kotoka International Airport, Ghana
ADD Africa/Addis_Ababa # Addis Ababa Bole International Airport, Ethiopia
ALG Africa/Algiers # Houari Boumediene International Airport, Algeria
ASM Africa/Asmara # Asmara International Airport, Eritrea
BKO Africa/Bamako # Modibo Keita International Airport, Mali
BGF Africa/Bangui # Bangui M'Poko International Airport, Central African Republic
BJL Africa/Banjul # Banjul International Airport, Gambia
OXB Africa/Bissau # Osvaldo Vieira International Airport, Guinea-Bissau
BLZ Africa/Blantyre # Chileka International Airport, Malawi
BZV Africa/Brazzaville # Maya-Maya Airport, Republic of the Congo
BJM Africa/Bujumbura # Melchior Ndadaye International Airport, Burundi
CAI Africa/Cairo # Cairo International Airport, Egypt
CMN Africa/Casablanca # Mohammed V International Airport, Morocco
JCU Africa/Ceuta # Ceuta Heliport, Spain
CKY Africa/Conakry # Ahmed Sekou Toure International Airport, Guinea
DSS Africa/Dakar # Blaise Diagne International Airport, Senegal
DAR Africa/Dar_es_Salaam # Julius Nyerere International Airport, Tanzania
JIB Africa/Djibouti # Djibouti–Ambouli International Airport, Djibouti
DLA Africa/Douala # Douala International Airport, Cameroon
EUN Africa/El_Aaiun # Hassan I Airport, Western Sahara
FNA Africa/Freetown # Freetown International Airport, Sierra Leone
GBE Africa/Gaborone # Sir Seretse Khama International Airport, Botswana
HRE Africa/Harare # Robert Gabriel Mugabe International Airport, Zimbabwe
JNB Africa/Johannesburg # O. R. Tambo International Airport, South Africa
JUB Africa/Juba # Juba International Airport, South Sudan
EBB Africa/Kampala # Entebbe International Airport, Uganda
KRT Africa/Khartoum # Khartoum International Airport, Sudan
KGL Africa/Kigali # Kigali International Airport, Rwanda
FIH Africa/Kinshasa # N'djili Airport, Democratic Republic of the Congo
LOS Africa/Lagos # Murtala Muhammed International Airport, Nigeria
LBV Africa/Libreville # Leon-Mba International Airport, Gabon
LFW Africa/Lome # Lome–Tokoin International Airport, Togo
LAD Africa/Luanda # Quatro de Fevereiro Airport, Angola
FBM Africa/Lubumbashi # Lubumbashi International Airport, Democratic Republic of the Congo
LUN Africa/Lusaka # Kenneth Kaunda International Airport, Zambia
SSG Africa/Malabo # Malabo International Airport, Equatorial Guinea
MPM Africa/Maputo # Maputo International Airport, Mozambique
MSU Africa/Maseru # Moshoeshoe I International Airport, Lesotho
SHO Africa/Mbabane # King Mswati III International Airport, Eswatini (Swaziland)
MGQ Africa/Mogadishu # Aden Adde International Airport, Somalia
ROB Africa/Monrovia # Roberts International Airport, Liberia
